Epoch: [1][690/960]	 Time 0.026 (0.064)	Data 0.017 (0.050)	Loss 1.1422 (10.3749)	
Epoch: [1][720/960]	 Time 0.042 (0.063)	Data 0.032 (0.049)	Loss 1.1099 (10.2685)	
Epoch: [1][750/960]	 Time 0.085 (0.063)	Data 0.069 (0.049)	Loss 2.0157 (10.1123)	
Epoch: [1][780/960]	 Time 0.028 (0.063)	Data 0.020 (0.049)	Loss 10.4519 (10.0599)	
Epoch: [1][810/960]	 Time 0.021 (0.062)	Data 0.012 (0.048)	Loss 17.9931 (10.0460)	
Epoch: [1][840/960]	 Time 0.115 (0.062)	Data 0.098 (0.048)	Loss 0.6337 (9.8838)	
Epoch: [1][870/960]	 Time 0.023 (0.062)	Data 0.013 (0.048)	Loss 3.1296 (10.2025)	
Epoch: [1][900/960]	 Time 0.048 (0.061)	Data 0.033 (0.047)	Loss 13.6753 (10.2896)	
Epoch: [1][930/960]	 Time 0.022 (0.060)	Data 0.013 (0.047)	Loss 1.1445 (10.2928)	
 * MAE 37.265 
 * best MAE 36.750 
Epoch: [2][0/960]	 Time 0.069 (0.069)	Data 0.059 (0.059)	Loss 1.0836 (1.0836)	
Epoch: [2][30/960]	 Time 0.035 (0.059)	Data 0.028 (0.044)	Loss 1.5113 (8.8206)	
Epoch: [2][60/960]	 Time 0.063 (0.071)	Data 0.050 (0.054)	Loss 2.4129 (10.6842)	
Epoch: [2][90/960]	 Time 0.058 (0.074)	Data 0.048 (0.058)	Loss 0.7255 (10.3828)	
Epoch: [2][120/960]	 Time 0.021 (0.070)	Data 0.014 (0.054)	Loss 2.1800 (10.0144)	
Epoch: [2][150/960]	 Time 0.067 (0.067)	Data 0.054 (0.052)	Loss 2.6424 (9.7302)	
Epoch: [2][180/960]	 Time 0.054 (0.064)	Data 0.043 (0.050)	Loss 4.6178 (9.5895)	
Epoch: [2][210/960]	 Time 0.100 (0.062)	Data 0.072 (0.048)	Loss 2.5107 (10.8191)	
Epoch: [2][240/960]	 Time 0.025 (0.061)	Data 0.016 (0.047)	Loss 2.4932 (11.9946)	
Epoch: [2][270/960]	 Time 0.039 (0.060)	Data 0.033 (0.046)	Loss 1.8141 (11.5242)	
Epoch: [2][300/960]	 Time 0.066 (0.060)	Data 0.054 (0.046)	Loss 0.8107 (11.1572)	
Epoch: [2][330/960]	 Time 0.032 (0.060)	Data 0.019 (0.046)	Loss 5.2144 (10.6804)	
Epoch: [2][360/960]	 Time 0.054 (0.060)	Data 0.047 (0.046)	Loss 1.0379 (10.5041)	
Epoch: [2][390/960]	 Time 0.078 (0.059)	Data 0.065 (0.045)	Loss 2.8364 (10.1983)	
Epoch: [2][420/960]	 Time 0.052 (0.059)	Data 0.044 (0.046)	Loss 0.7893 (10.1477)	
Epoch: [2][450/960]	 Time 0.046 (0.059)	Data 0.037 (0.045)	Loss 3.0657 (10.0318)	
Epoch: [2][480/960]	 Time 0.056 (0.058)	Data 0.051 (0.045)	Loss 56.3655 (10.2647)	
Epoch: [2][510/960]	 Time 0.059 (0.057)	Data 0.049 (0.044)	Loss 1.4123 (10.8571)	
Epoch: [2][540/960]	 Time 0.087 (0.058)	Data 0.063 (0.044)	Loss 8.8633 (10.7475)	
Epoch: [2][570/960]	 Time 0.037 (0.057)	Data 0.017 (0.044)	Loss 1.2093 (10.9976)	
Epoch: [2][600/960]	 Time 0.050 (0.059)	Data 0.035 (0.045)	Loss 1.1308 (11.1806)	
Epoch: [2][630/960]	 Time 0.088 (0.059)	Data 0.069 (0.045)	Loss 1.7559 (11.1337)	
Epoch: [2][660/960]	 Time 0.043 (0.059)	Data 0.033 (0.045)	Loss 3.3857 (10.9375)	
Epoch: [2][690/960]	 Time 0.071 (0.059)	Data 0.049 (0.045)	Loss 0.6797 (10.6881)	
Epoch: [2][720/960]	 Time 0.047 (0.059)	Data 0.030 (0.045)	Loss 1.7261 (10.9476)	
Epoch: [2][750/960]	 Time 0.030 (0.059)	Data 0.017 (0.044)	Loss 2.3134 (11.0760)	
Epoch: [2][780/960]	 Time 0.027 (0.058)	Data 0.015 (0.044)	Loss 5.9517 (10.8775)	
Epoch: [2][810/960]	 Time 0.042 (0.058)	Data 0.024 (0.044)	Loss 1.7444 (10.7518)	
Epoch: [2][840/960]	 Time 0.069 (0.059)	Data 0.056 (0.045)	Loss 1.0149 (10.6138)	
Epoch: [2][870/960]	 Time 0.070 (0.059)	Data 0.049 (0.045)	Loss 0.6214 (10.5794)	
Epoch: [2][900/960]	 Time 0.045 (0.059)	Data 0.038 (0.045)	Loss 0.7253 (10.4649)	
Epoch: [2][930/960]	 Time 0.074 (0.059)	Data 0.061 (0.045)	Loss 0.8038 (10.2454)	
 * MAE 31.678 
 * best MAE 31.678 
Epoch: [3][0/960]	 Time 0.079 (0.079)	Data 0.071 (0.071)	Loss 0.8145 (0.8145)	
Epoch: [3][30/960]	 Time 0.058 (0.055)	Data 0.050 (0.044)	Loss 0.8495 (7.2848)	
Epoch: [3][60/960]	 Time 0.067 (0.066)	Data 0.054 (0.053)	Loss 0.9204 (11.3173)	
Epoch: [3][90/960]	 Time 0.076 (0.068)	Data 0.057 (0.054)	Loss 0.7829 (10.7326)	
Epoch: [3][120/960]	 Time 0.059 (0.068)	Data 0.047 (0.053)	Loss 13.7111 (10.1125)	
Epoch: [3][150/960]	 Time 0.058 (0.069)	Data 0.048 (0.053)	Loss 2.5547 (10.2260)	
Epoch: [3][180/960]	 Time 0.029 (0.067)	Data 0.018 (0.052)	Loss 73.8969 (11.2636)	
Epoch: [3][210/960]	 Time 0.058 (0.065)	Data 0.047 (0.051)	Loss 0.8590 (11.5107)	
Epoch: [3][240/960]	 Time 0.046 (0.064)	Data 0.023 (0.050)	Loss 1.2129 (11.0053)	
Epoch: [3][270/960]	 Time 0.044 (0.064)	Data 0.033 (0.049)	Loss 3.1345 (11.7063)	
Epoch: [3][300/960]	 Time 0.062 (0.064)	Data 0.049 (0.049)	Loss 35.9244 (11.5094)	
Epoch: [3][330/960]	 Time 0.066 (0.063)	Data 0.053 (0.049)	Loss 6.3246 (11.8876)	
Epoch: [3][360/960]	 Time 0.093 (0.063)	Data 0.072 (0.049)	Loss 2.8999 (11.7380)	
Epoch: [3][390/960]	 Time 0.046 (0.062)	Data 0.038 (0.048)	Loss 15.3584 (11.4660)	
Epoch: [3][420/960]	 Time 0.056 (0.063)	Data 0.044 (0.049)	Loss 7.1534 (11.1919)	
Epoch: [3][450/960]	 Time 0.035 (0.062)	Data 0.028 (0.048)	Loss 2.2137 (10.9561)	
Epoch: [3][480/960]	 Time 0.096 (0.062)	Data 0.078 (0.048)	Loss 2.8389 (10.6492)	
Epoch: [3][510/960]	 Time 0.073 (0.062)	Data 0.057 (0.048)	Loss 1.5045 (10.5028)	
Epoch: [3][540/960]	 Time 0.065 (0.060)	Data 0.048 (0.047)	Loss 0.7713 (10.9227)	
Epoch: [3][570/960]	 Time 0.057 (0.060)	Data 0.049 (0.047)	Loss 0.9793 (10.7987)	
Epoch: [3][600/960]	 Time 0.033 (0.060)	Data 0.028 (0.047)	Loss 0.7055 (10.5471)	
Epoch: [3][630/960]	 Time 0.071 (0.059)	Data 0.048 (0.046)	Loss 4.6173 (10.3587)	
Epoch: [3][660/960]	 Time 0.052 (0.059)	Data 0.043 (0.046)	Loss 1.6726 (10.1011)	
Epoch: [3][690/960]	 Time 0.028 (0.059)	Data 0.020 (0.046)	Loss 2.1496 (10.3497)	
Epoch: [3][720/960]	 Time 0.081 (0.059)	Data 0.056 (0.046)	Loss 7.8938 (10.2290)	
Epoch: [3][750/960]	 Time 0.073 (0.059)	Data 0.057 (0.046)	Loss 1.4309 (10.2262)	
Epoch: [3][780/960]	 Time 0.054 (0.059)	Data 0.046 (0.046)	Loss 4.9653 (10.3156)	
Epoch: [3][810/960]	 Time 0.043 (0.059)	Data 0.035 (0.046)	Loss 3.2824 (10.2847)	
Epoch: [3][840/960]	 Time 0.043 (0.058)	Data 0.037 (0.045)	Loss 2.4952 (10.1922)	
Epoch: [3][870/960]	 Time 0.039 (0.058)	Data 0.022 (0.045)	Loss 0.7971 (10.2676)	
Epoch: [3][900/960]	 Time 0.053 (0.058)	Data 0.042 (0.045)	Loss 0.9261 (10.2321)	
Epoch: [3][930/960]	 Time 0.074 (0.058)	Data 0.058 (0.045)	Loss 0.8655 (10.3128)	
 * MAE 34.958 
 * best MAE 31.678 
Epoch: [4][0/960]	 Time 0.040 (0.040)	Data 0.022 (0.022)	Loss 3.0092 (3.0092)	
Epoch: [4][30/960]	 Time 0.022 (0.070)	Data 0.013 (0.054)	Loss 3.0729 (9.6382)	
Epoch: [4][60/960]	 Time 0.055 (0.067)	Data 0.049 (0.052)	Loss 3.1733 (12.3322)	
Epoch: [4][90/960]	 Time 0.079 (0.064)	Data 0.062 (0.049)	Loss 0.7918 (13.6377)	
Epoch: [4][120/960]	 Time 0.087 (0.068)	Data 0.064 (0.053)	Loss 0.7414 (11.2866)	
Epoch: [4][150/960]	 Time 0.054 (0.064)	Data 0.036 (0.049)	Loss 1.1207 (11.7499)	
Epoch: [4][180/960]	 Time 0.104 (0.062)	Data 0.077 (0.047)	Loss 1.0137 (11.2745)	
Epoch: [4][210/960]	 Time 0.094 (0.063)	Data 0.074 (0.048)	Loss 0.7039 (10.8972)	
Epoch: [4][240/960]	 Time 0.067 (0.062)	Data 0.053 (0.047)	Loss 1.1921 (10.5503)	
Epoch: [4][270/960]	 Time 0.071 (0.061)	Data 0.058 (0.046)	Loss 1.1334 (10.9263)	
Epoch: [4][300/960]	 Time 0.095 (0.061)	Data 0.073 (0.047)	Loss 12.8875 (10.7153)	
Epoch: [4][330/960]	 Time 0.069 (0.063)	Data 0.052 (0.048)	Loss 35.9301 (10.2829)	
Epoch: [4][360/960]	 Time 0.034 (0.061)	Data 0.021 (0.047)	Loss 27.7082 (10.2391)	
Epoch: [4][390/960]	 Time 0.062 (0.061)	Data 0.044 (0.046)	Loss 136.9610 (10.5188)	
Epoch: [4][420/960]	 Time 0.031 (0.061)	Data 0.018 (0.046)	Loss 0.8412 (10.4324)	
Epoch: [4][450/960]	 Time 0.071 (0.061)	Data 0.048 (0.046)	Loss 82.5299 (10.7698)	
Epoch: [4][480/960]	 Time 0.064 (0.061)	Data 0.049 (0.046)	Loss 0.7826 (10.3502)	
