Epoch: [0][0/1280]	 Time 0.810 (0.810)	Data 0.105 (0.105)	Loss 1.3256 (1.3256)	
Epoch: [0][30/1280]	 Time 0.062 (0.109)	Data 0.052 (0.075)	Loss 0.5005 (0.3170)	
Epoch: [0][60/1280]	 Time 0.064 (0.077)	Data 0.058 (0.056)	Loss 0.0416 (0.3066)	
Epoch: [0][90/1280]	 Time 0.073 (0.070)	Data 0.066 (0.054)	Loss 0.3137 (0.3315)	
Epoch: [0][120/1280]	 Time 0.154 (0.073)	Data 0.130 (0.058)	Loss 0.2670 (0.2860)	
Epoch: [0][150/1280]	 Time 0.068 (0.075)	Data 0.060 (0.061)	Loss 0.0259 (0.2753)	
Epoch: [0][180/1280]	 Time 0.085 (0.077)	Data 0.073 (0.064)	Loss 0.1193 (0.3000)	
Epoch: [0][210/1280]	 Time 0.070 (0.078)	Data 0.060 (0.065)	Loss 0.3215 (0.2900)	
Epoch: [0][240/1280]	 Time 0.069 (0.077)	Data 0.059 (0.065)	Loss 0.0297 (0.2766)	
Epoch: [0][270/1280]	 Time 0.032 (0.076)	Data 0.026 (0.064)	Loss 0.0272 (0.2651)	
Epoch: [0][300/1280]	 Time 0.042 (0.074)	Data 0.032 (0.062)	Loss 0.0590 (0.2700)	
Epoch: [0][330/1280]	 Time 0.063 (0.072)	Data 0.054 (0.061)	Loss 0.1703 (0.2580)	
Epoch: [0][360/1280]	 Time 0.080 (0.071)	Data 0.067 (0.060)	Loss 0.1196 (0.2496)	
Epoch: [0][390/1280]	 Time 0.039 (0.070)	Data 0.030 (0.059)	Loss 0.0274 (0.2486)	
Epoch: [0][420/1280]	 Time 0.032 (0.068)	Data 0.026 (0.058)	Loss 0.1110 (0.2572)	
Epoch: [0][450/1280]	 Time 0.059 (0.067)	Data 0.052 (0.057)	Loss 0.8659 (0.2562)	
Epoch: [0][480/1280]	 Time 0.034 (0.066)	Data 0.028 (0.056)	Loss 0.0219 (0.2566)	
Epoch: [0][510/1280]	 Time 0.049 (0.066)	Data 0.043 (0.056)	Loss 0.0243 (0.2543)	
